VENDEDOR	CLIENTE	ROTULO	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	LITOGRAFIA	FECHAMENTO
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	108832012	18	18 L.	23/07/2012	16/07/2012	20/07/2012	21/07/2012	23/07/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	BEMIL IND. E COM. DE TINTAS  LTDA.	018.1299.01.1	18L (H)- BEMIL  TECNOLOGIA	108842012	18	18 L.	23/07/2012	03/08/2012	07/08/2012	08/08/2012	10/08/2012	564	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	MAGENTA EUROPA	PRETO	AZUL EUROPA			Ø42	
CLAUDIO FRANCO DA ROCHA	ANCHORTEC INDUSTRIAL E COMERCIAL	018.0238.01.1	18L (H)- ANCHORTOL	108852012	18	18 L.	24/07/2012	20/07/2012	24/07/2012	25/07/2012	27/07/2012	1080	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	AMARELO BANDEIRA	PRETO	AZUL DURAMAR			Ø57	
DALTON	KILLING BAHIA TINTAS E ADESIVOS LTDA.	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	108862012	18	18 L.	24/07/2012	18/07/2012	22/07/2012	23/07/2012	25/07/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
DALTON	ARTECOLA INDÚSTRIAS QUÍMICAS LTDA  RS	018.0074.04.1	18L (H)-  ARTECOLA   FORBO  ADES. INCOLOR	108872012	18	18 L.	24/07/2012	19/07/2012	23/07/2012	24/07/2012	26/07/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	AZUL EUROPA				Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	108882012	18	18 L.	24/07/2012	17/07/2012	21/07/2012	22/07/2012	24/07/2012	3000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
ELENICE MARTIRE	HANNS EGGEN DO BRASIL PROD. GRAF. LTDA	018.0294.00.0	DESATIVADO LATA 18L (H) NATURAL S/VZ	108892012	18	18 L.	24/07/2012	21/08/2012	25/08/2012	26/08/2012	28/08/2012	1008	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.06.0	18L (H)- SOLVENTEX  PRIMERTEX (CINZA)	108902012	18	18 L.	24/07/2012	18/07/2012	22/07/2012	23/07/2012	25/07/2012	720	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PRIMERTEX	VERMELHO LINOVA	PRETO				Ø57	
ELENICE MARTIRE	HANNS EGGEN DO BRASIL PROD. GRAF. LTDA	018.0294.00.0	DESATIVADO LATA 18L (H) NATURAL S/VZ	108912012	18	18 L.	25/07/2012	03/09/2012	07/09/2012	08/09/2012	10/09/2012	1000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
DALTON	ARTECOLA INDUSTRIAS QUIMICAS LTDA  BA	018.0661.04.0	18L (H)- ARTECOLA  ADES.FORBO (VZ INCOL CP TP FD)	108922012	18	18 L.	25/07/2012	20/07/2012	24/07/2012	25/07/2012	27/07/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO					Ø57	
DALTON	KILLING S/A  TINTAS E ADESIVOS	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	108942012	18	18 L.	25/07/2012	20/09/2012	24/09/2012	25/09/2012	27/09/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.02.1	18L (H)- SOLVENTEX  ZARCOTEX (MARROM)	108952012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1440	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		BORDO  PREPARADO	VERMELHO LINOVA	MARROM ZARCOTEX	PRETO	OURO PREPARADO		Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.04.1	18L (H)- SOLVENTEX  ZINCOTEX (VERDE)	108962012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	540	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE ZINCOTEX				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.06.0	18L (H)- SOLVENTEX  PRIMERTEX (CINZA)	108972012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1800	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PRIMERTEX	VERMELHO LINOVA	PRETO				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.08.1	18L (H)- SOLVENTEX  (AMARELA)  	108982012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1080	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	OURO PREPARADO	AZUL TOZAN	AMARELO MEDIO			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.31.1	18L (H)- SOLVENTEX  PRIMER  ACABAMENTO CINZA	108992012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL ESCALA	VERMELHO LINOVA	PRETO	CINZA GRAFITEX			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.11.1	18L (H)- SOLVENTEX  THINNER USO PROFIS.	109002012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1800	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE SOLVENTEX	AZUL EUROPA			Ø42	
ANGELA QUIRINO	QUIMICA NACIONAL QUIMIONAL LTDA	018.0205.01.0	18L (H)- QUIMIONAL COLA  	109012012	18	18 L.	26/07/2012	15/08/2012	19/08/2012	20/08/2012	22/08/2012	2000	0	0	EPOXI FENOLICO		ESM.BRANCO COMUM	COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERMELHO LINOVA	AZUL EUROPA	LARANJA RILAPLAST			Ø57	
ANGELA QUIRINO	NIPPON CHEMICAL IND.COM.SANEANTES DET.PROF.	018.0080.16.0	DESATIVADO LATA 18L (H) CHAPADO VERMELHO S/VZ	109022012	18	18 L.	26/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	600	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO VIVAVINIL	PRETO					Ø42	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.02.1	18L (H)- SOLVENTEX  ZARCOTEX (MARROM)	109032012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1200	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		BORDO  PREPARADO	VERMELHO LINOVA	MARROM ZARCOTEX	PRETO	OURO PREPARADO		Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.04.1	18L (H)- SOLVENTEX  ZINCOTEX (VERDE)	109042012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	420	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE ZINCOTEX				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.06.0	18L (H)- SOLVENTEX  PRIMERTEX (CINZA)	109052012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1480	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PRIMERTEX	VERMELHO LINOVA	PRETO				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.08.1	18L (H)- SOLVENTEX  (AMARELA)  	109062012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	520	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	OURO PREPARADO	AZUL TOZAN	AMARELO MEDIO			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.10.1	18L (H)- SOLVENTEX  GRAFITEX	109072012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	560	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA GRAFITEX	VERMELHO LINOVA	PRETO				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.11.1	18L (H)- SOLVENTEX  THINNER USO PROFIS.	109082012	18	18 L.	27/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE SOLVENTEX	AZUL EUROPA			Ø42	
DALTON	KILLING BAHIA TINTAS E ADESIVOS LTDA.	018.1304.01.0	18L (H)- KISAFIX  USO PROFISSIONAL  C/VZ	109092012	18	18 L.	27/07/2012	20/07/2012	24/07/2012	25/07/2012	27/07/2012	5000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO TRANSPARENTE	AZUL DURAMAR	PRETO	AMARELO BANDEIRA			Ø57	
SANDRA REGINA DA SILVA	INDUSTRIA  QUIMICA  UNA LTDA	018.0188.05.0	18L (H)- UNA UNA UNA COLA	109102012	18	18 L.	27/07/2012	10/08/2012	14/08/2012	15/08/2012	17/08/2012	2520	0	0	EPOXI FENOLICO		ESM.BRANCO COMUM	COM VZ INTERNO	ACABAMENTO COMUM		AZUL UNA	VERMELHO LINOVA	AMARELO LIMÃO				Ø57	
CLAUDIO FRANCO DA ROCHA	ALLCHEM  PRODUTOS QUIMICOS  LTDA	018.1464.03.0	DESATIVADO 18L (H)- CHAPADA  BRANCA 	109112012	18	18 L.	27/07/2012	24/07/2012	28/07/2012	29/07/2012	31/07/2012	180	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.02.1	18L (H)- SOLVENTEX  ZARCOTEX (MARROM)	109122012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	4140	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		BORDO  PREPARADO	VERMELHO LINOVA	MARROM ZARCOTEX	PRETO	OURO PREPARADO		Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.04.1	18L (H)- SOLVENTEX  ZINCOTEX (VERDE)	109132012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1080	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE ZINCOTEX				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.06.0	18L (H)- SOLVENTEX  PRIMERTEX (CINZA)	109142012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	8100	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PRIMERTEX	VERMELHO LINOVA	PRETO				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.08.1	18L (H)- SOLVENTEX  (AMARELA)  	109152012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	2160	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	OURO PREPARADO	AZUL TOZAN	AMARELO MEDIO			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.11.1	18L (H)- SOLVENTEX  THINNER USO PROFIS.	109162012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	3060	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	VERDE SOLVENTEX	AZUL EUROPA			Ø42	
CLAUDIO FRANCO DA ROCHA	MASSA PLASTICA CARIACICA LTDA. ME	018.1194.04.0	18L (H)- CARFORT  THINNER  COMUM C-500	109172012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	540	0	0				COM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	LARANJA RILAPLAST	CREME PREPARADO	MARROM P-4975C			Ø57	
ANGELA QUIRINO	METALGAMICA PRODS. GRAFICOS LTDA	018.0130.01.0	18L (H)- METALGAMICA  USO PROFIS.	109182012	18	18 L.	30/07/2012	18/08/2012	22/08/2012	23/08/2012	25/08/2012	2000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	CINZA METALGAMICA	AZUL EUROPA	VERDE 355 PROCESSO		Ø42	
ANGELA QUIRINO	METALGAMICA PRODS. GRAFICOS LTDA	018.0130.01.0	18L (H)- METALGAMICA  USO PROFIS.	109192012	18	18 L.	30/07/2012	18/09/2012	22/09/2012	23/09/2012	25/09/2012	2000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	CINZA METALGAMICA	AZUL EUROPA	VERDE 355 PROCESSO		Ø42	
ANGELA QUIRINO	METALGAMICA PRODS. GRAFICOS LTDA	018.0130.01.0	18L (H)- METALGAMICA  USO PROFIS.	109202012	18	18 L.	30/07/2012	18/10/2012	22/10/2012	23/10/2012	25/10/2012	2000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	CINZA METALGAMICA	AZUL EUROPA	VERDE 355 PROCESSO		Ø42	
ANGELA QUIRINO	METALGAMICA PRODS. GRAFICOS LTDA	018.0130.01.0	18L (H)- METALGAMICA  USO PROFIS.	109212012	18	18 L.	30/07/2012	18/11/2012	22/11/2012	23/11/2012	25/11/2012	2000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	CINZA METALGAMICA	AZUL EUROPA	VERDE 355 PROCESSO		Ø42	
CLAUDIO FRANCO DA ROCHA	MASSA PLASTICA CARIACICA LTDA. ME	018.1194.04.0	18L (H)- CARFORT  THINNER  COMUM C-500	109222012	18	18 L.	30/07/2012	20/07/2012	24/07/2012	25/07/2012	27/07/2012	540	0	0				COM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	LARANJA RILAPLAST	CREME PREPARADO	MARROM P-4975C			Ø57	
ANGELA QUIRINO	VELOZ QUIM. DERIV. PETR. E SOLV. LTDA	018.0302.11.0	18L ( H)-  VELOZ  SOLVENTES	109232012	18	18 L.	30/07/2012	23/07/2012	27/07/2012	28/07/2012	30/07/2012	1000	0	0			ESM.BRANCO FORMICA	SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO	CINZA PREPARADO	VERMELHO LINOVA	VERDE PREPARADO	PRETO		Ø57	
CLAUDIO FRANCO DA ROCHA	B M CHEMICAL IND.E COM.LTDA	018.0940.01.0	DESATIVADO LATA 18L (H) CHAPADO BRANCO	109242012	18	18 L.	31/07/2012	24/07/2012	28/07/2012	29/07/2012	31/07/2012	180	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO						Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0079.03.0	DESATIVADO18L (H)- PLACA  CENTRO MASISA COLA EM079	109252012	18	18 L.	01/08/2012	25/07/2012	29/07/2012	30/07/2012	01/08/2012	1500	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL ESCALA	LARANJA RILAPLAST	VERMELHO LINOVA				Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0079.04.1	DESATIVADO8L (H)- BIQ BERTONCINI 1263  CINZA EM073	109262012	18	18 L.	01/08/2012	25/07/2012	29/07/2012	30/07/2012	01/08/2012	1500	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO	VERMELHO PREPARADO	CINZA METALGAMICA	AZUL DURAMAR			Ø42	
DALTON	KILLING S/A  TINTAS E ADESIVOS	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	109272012	18	18 L.	01/08/2012	25/07/2012	29/07/2012	30/07/2012	01/08/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
CLAUDIO FRANCO DA ROCHA	MASSA PLASTICA CARIACICA LTDA. ME	018.1194.04.0	18L (H)- CARFORT  THINNER  COMUM C-500	109282012	18	18 L.	01/08/2012	31/07/2012	04/08/2012	05/08/2012	07/08/2012	600	0	0				COM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	LARANJA RILAPLAST	CREME PREPARADO	MARROM P-4975C			Ø57	
ROGERIO BARRETTO MARTINS	DISSOLTEX IND. QUÍMICA LTDA	018.0100.01.0	18L (H)- DISSOLTEX  SOLVENTE	109292012	18	18 L.	01/08/2012	10/08/2012	14/08/2012	15/08/2012	17/08/2012	1500	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO MEDIO	AZUL DURAMAR	PRETO	LARANJA PREPARADO	VERDE PREPARADO		Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.23.0	18L (H)- PISOTEX  SOLVENTEX	109302012	18	18 L.	02/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	540	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		ALUMINIO 6700	PRETO	VERMELHO MAZA				Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.28.0	18L (H)- SOLVENTEX  INDUSTRIAL   ESPECIAL	109312012	18	18 L.	02/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AMARELO BANDEIRA	AZUL DURAMAR	MAGENTA BERTONCINI			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.31.1	18L (H)- SOLVENTEX  PRIMER  ACABAMENTO CINZA	109322012	18	18 L.	02/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	180	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL ESCALA	VERMELHO LINOVA	PRETO	CINZA GRAFITEX			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.33.0	18L (H)- SOLVENTEX   ZARCOTEX  (LARANJA)	109332012	18	18 L.	02/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	720	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	LARANJA RILAPLAST				Ø57	
CLAUDIO FRANCO DA ROCHA	TEC SCREEN INDL. PROD.TEC.SERIGRAFIA LTDA	018.0294.00.0	DESATIVADO LATA 18L (H) NATURAL S/VZ	109342012	18	18 L.	02/08/2012	12/08/2012	16/08/2012	17/08/2012	19/08/2012	102	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	109352012	18	18 L.	02/08/2012	26/07/2012	30/07/2012	31/07/2012	02/08/2012	3000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
ANGELA QUIRINO	QUIMICA NACIONAL QUIMIONAL LTDA	018.0940.01.0	DESATIVADO LATA 18L (H) CHAPADO BRANCO	109362012	18	18 L.	03/08/2012	30/08/2012	03/09/2012	04/09/2012	06/09/2012	300	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO						Ø57	
SANDRA REGINA DA SILVA	INDUSTRIA  QUIMICA  UNA LTDA	018.0188.01.0	18L (H)- UNA XADREZ	109372012	18	18 L.	03/08/2012	01/08/2012	05/08/2012	06/08/2012	08/08/2012	2520	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRATA UNA	VERMELHO LINOVA	AZUL UNA	AMARELO LIMÃO			Ø57	
ROGERIO BARRETTO MARTINS	FABR. MATS. ISOLANTES ISOLASIL S.A	018.0410.01.0	18L (H)- ISOLASIL Ø57	109382012	18	18 L.	03/08/2012	08/08/2012	12/08/2012	13/08/2012	15/08/2012	1500	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO PREPARADO	AZUL DURAMAR	PRETO				Ø57	
SANDRA REGINA DA SILVA	INDUSTRIA  QUIMICA  UNA LTDA	018.0188.01.0	18L (H)- UNA XADREZ	109392012	18	18 L.	03/08/2012	09/08/2012	13/08/2012	14/08/2012	16/08/2012	2520	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRATA UNA	VERMELHO LINOVA	AZUL UNA	AMARELO LIMÃO			Ø57	
DALTON	KILLING BAHIA TINTAS E ADESIVOS LTDA.	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	109402012	18	18 L.	03/08/2012	28/07/2012	01/08/2012	02/08/2012	04/08/2012	5000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	109412012	18	18 L.	03/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	109422012	18	18 L.	06/08/2012	15/08/2012	19/08/2012	20/08/2012	22/08/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	109432012	18	18 L.	06/08/2012	20/08/2012	24/08/2012	25/08/2012	27/08/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
LUCIANA	BRASILUX TINTAS TÉCNICAS LTDA	018.0088.02.1	18L (H)- BRASILUX  DILUENTES/ADITIVOS (AZUL)	109442012	18	18 L.	06/08/2012	03/08/2012	07/08/2012	08/08/2012	10/08/2012	2900	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		VERDE BRASITEC 2ªPASS	MAGENTA EUROPA	AZUL EUROPA	VERDE BRASITEC	BRANCO BRILTINTAS		Ø57	
DALTON	ARTECOLA INDÚSTRIAS QUÍMICAS LTDA  RS	018.0074.04.1	18L (H)-  ARTECOLA   FORBO  ADES. INCOLOR	109452012	18	18 L.	06/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	AZUL EUROPA				Ø57	
DALTON	ARTECOLA INDUSTRIAS QUIMICAS LTDA  BA	018.0661.04.0	18L (H)- ARTECOLA  ADES.FORBO (VZ INCOL CP TP FD)	109462012	18	18 L.	06/08/2012	30/07/2012	03/08/2012	04/08/2012	06/08/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO					Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	109472012	18	18 L.	07/08/2012	03/08/2012	07/08/2012	08/08/2012	10/08/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	109482012	18	18 L.	07/08/2012	10/08/2012	14/08/2012	15/08/2012	17/08/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
ANGELA QUIRINO	ACEBRAS ACETATOS DO BRASIL LTDA	018.0002.01.0	18L (H)-  ACEBRAS Ø57	109492012	18	18 L.	07/08/2012	17/08/2012	21/08/2012	22/08/2012	24/08/2012	1000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	PRETO	AMARELO LIMÃO	VERMELHO LINOVA		Ø57	
